Adresa;Adresa interní;Městská část;GPS lat;GPS lon;vyska;Typ zdroje;Systém;Popis
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsKov_7;Pds Ková
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsKov_9;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsReh48;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;PdsArchi;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;EKr24MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;EKr28MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;EKr30MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Pre_3MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Pre_5MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Pre_7MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Bla_3MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Bla_5MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Bla_7MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Kov_3MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Kov_5MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Kov_7MT;
Elišky Krásnohorské 22;VS El.Krásnoho.22;Černovice;49.1864264;16.6314536;200.0;PV;Kov_9MT;
Elplova 38;VS4 Elplova 38;Líšeň;49.2095311;16.6775403;325.5;HV;VS4ElKOT;Kotle VS4 Elpova
Elplova 38;VS4 Elplova 38;Líšeň;49.2095311;16.6775403;325.5;HV;VS4ElSTR;Stroj. VS4 Elpova
Elplova 38;VS4 Elplova 38;Líšeň;49.2095311;16.6775403;325.5;HV;VS4ElMT;Měření VS4 Elpova
Elplova 38;VS4 Elplova 38;Líšeň;49.2095311;16.6775403;325.5;HV;VS4ElPS1;PDS Elpova 32,34,36
Elplova 38;VS4 Elplova 38;Líšeň;49.2095311;16.6775403;325.5;HV;VS4ElPS2;PDS Poláčkova 1-11,2-12
Elplova 38;VS4 Elplova 38;Líšeň;49.2095311;16.6775403;325.5;HV;VS4ElPS3;PDS Poláčkova 13MŠ
Elplova 38;VS4 Elplova 38;Líšeň;49.2095311;16.6775403;325.5;HV;ElpPS1MT;Měř. Elpova 32,34,36
Elplova 38;VS4 Elplova 38;Líšeň;49.2095311;16.6775403;325.5;HV;ElpPS2MT;Měř. Poláčkova 1-11,2-12
Elplova 38;VS4 Elplova 38;Líšeň;49.2095311;16.6775403;325.5;HV;ElpPS3MT;Měř. Poláčkova 13MŠ
Fillova 14;HO11 Fillova 14;Lesná;49.2283189;16.6214236;282.5;HV;HO11FKOT;Kotle HO11 Fillova
