Adresa;Adresa interní;Městská část;GPS lat;GPS lon;vyska;Typ zdroje;Systém;Popis
Janošíkova 41;PKD Janošíkova 41;Chrlice;49.1288400;16.6517494;195.5;PK;D_JanSTR;D Jánošíkova strojovna
Janošíkova 41;PKD Janošíkova 41;Chrlice;49.1288400;16.6517494;195.5;PK;D_JanPS1;PDS D Jánošíkova 35,37
Janošíkova 41;PKD Janošíkova 41;Chrlice;49.1288400;16.6517494;195.5;PK;D_JanMT;Měření D Jánošíkova
Jánská 18;VS Jánská 18;Střed;49.1948253;16.6118119;214.1;HV;Jan18STR;Stroj. Janská 18
Jánská 9;VS Jánská 9;Střed;49.1944278;16.6097994;225.6;HV;Jan09STR;Stroj. Jánská 9
Jasanová 26a;PK E1 Jasanová 26a;Jundrov;49.2044275;16.5556203;225.5;PK;E1JasKOT;Kotle E1 Jasanová
Jasanová 26a;PK E1 Jasanová 26a;Jundrov;49.2044275;16.5556203;225.5;PK;E1JasSTR;Strojovna E1 Jasanová
Jasanová 4a;PK E2 Jasanová 4a;Jundrov;49.2061097;16.5532850;224.2;PK;E2JasKOT;Kotle E2 Jasanová
Jasanová 4a;PK E2 Jasanová 4a;Jundrov;49.2061097;16.5532850;224.2;PK;E2JasSTR;Strojovna  E2 Jasanová
Ječná 38a;PKKR2 Ječná 38a;Řečkovice;49.2497761;16.5856489;252.9;PK;K8JecKOT;Kotle KR8 Ječná
Ječná 38a;PKKR2 Ječná 38a;Řečkovice;49.2497761;16.5856489;252.9;PK;K8JecSTR;Strojovna KR8 Ječná
Ježkova 9;HO5 Ježkova 9;Lesná;49.2300275;16.6294517;302.5;HV;HO5JeKOT;Kotle HO5 Ježkova
Ježkova 9;HO5 Ježkova 9;Lesná;49.2300275;16.6294517;302.5;HV;HO5JeSTR;Stroj. HO5 Ježkova
Ježkova 9;HO5 Ježkova 9;Lesná;49.2300275;16.6294517;302.5;HV;HO5JeMT;Měření HO5 Ježkova
Ježkova 9;HO5 Ježkova 9;Lesná;49.2300275;16.6294517;302.5;HV;PDSBlz_8;PDS Blažkova 8 pro 1-8
Ježkova 9;HO5 Ježkova 9;Lesná;49.2300275;16.6294517;302.5;HV;PDSBlz_9;PDS Blažkova 9 ZŠ
Jihomoravské náměstí 1a;PK2 Jihomora.n.1a;Slatina;49.1787681;16.6841578;254.9;PK;PK2JiKOT;PK2 Jihomor. n. kotle
Jihomoravské náměstí 1a;PK2 Jihomora.n.1a;Slatina;49.1787681;16.6841578;254.9;PK;PK2JiSTR;PK2 Jihomor.n. strojovna
Jílová 29b;VS Jílova 29b;Štýřice;49.1791414;16.5937681;218.3;HV;VSJilSTR;Strojovna VS Jílova
Jílová 29b;VS Jílova 29b;Štýřice;49.1791414;16.5937681;218.3;HV;VSJilMT;Měření VS Jílova
Jílová 29b;VS Jílova 29b;Štýřice;49.1791414;16.5937681;218.3;HV;VSJilPS1;PDS Jílova 28a
Jílová 29b;VS Jílova 29b;Štýřice;49.1791414;16.5937681;218.3;HV;JilPS1MT;Měření Jílova 28a
Jindřichova 10;VS Jindřichova 10;Žabovřesky;49.2138522;16.5825142;239.4;HV;VsJ10STR;Strojovna Jindřichova 10
Jindřichova 10;VS Jindřichova 10;Žabovřesky;49.2138522;16.5825142;239.4;HV;VsJ10MT;Měření Jindřichova 10
Jindřichova 12;VS Jindřichova 12;Žabovřesky;49.2136544;16.5822667;238.1;HV;VsJ12STR;Strojovna Jindřichova 12
Jindřichova 12;VS Jindřichova 12;Žabovřesky;49.2136544;16.5822667;238.1;HV;VsJ12MT;Měření Jindřichova 12
Jindřichova 14;VS Jindřichova 14;Žabovřesky;49.2133161;16.5820053;236.3;HV;VsJ14STR;Strojovna Jindřichova 14
Jindřichova 14;VS Jindřichova 14;Žabovřesky;49.2133161;16.5820053;236.3;HV;VsJ14MT;Měření Jindřichova 14
Jindřichova 16;VS Jindřichova 16;Žabovřesky;49.2131103;16.5818422;234.9;HV;VsJ16STR;Strojovna Jindřichova 16
Jindřichova 16;VS Jindřichova 16;Žabovřesky;49.2131103;16.5818422;234.9;HV;VsJ16MT;Měření Jindřichova 16
Jindřichova 18;VS Jindřichova 18;Žabovřesky;49.2129150;16.5816781;233.5;HV;VsJ18STR;Strojovna Jindřichova 18
Jindřichova 18;VS Jindřichova 18;Žabovřesky;49.2129150;16.5816781;233.5;HV;VsJ18MT;Měření Jindřichova 18
Jindřichova 19;VS Jindřichova 19;Žabovřesky;49.2129128;16.5824731;237.8;HV;VsJ19STR;Strojovna Jindřichova 19
Jindřichova 19;VS Jindřichova 19;Žabovřesky;49.2129128;16.5824731;237.8;HV;VsJ19MT;Měření Jindřichova 19
Jindřichova 21;VS Jindřichova 21;Žabovřesky;49.2127225;16.5826394;238.3;HV;VsJ21STR;Strojovna Jindřichova 21
Jindřichova 21;VS Jindřichova 21;Žabovřesky;49.2127225;16.5826394;238.3;HV;VsJ21MT;Měření Jindřichova 21
Jindřichova 6;VS Jindřichova 6;Žabovřesky;49.2145492;16.5825850;242.7;HV;VsJ06STR;Strojovna Jindřichova 6
Jindřichova 6;VS Jindřichova 6;Žabovřesky;49.2145492;16.5825850;242.7;HV;VsJ06MT;Měření Jindřichova 6
Jindřichova 8;VS Jindřichova 8;Žabovřesky;49.2143714;16.5827767;242.5;HV;VsJ08STR;Strojovna Jindřichova 8
Jindřichova 8;VS Jindřichova 8;Žabovřesky;49.2143714;16.5827767;242.5;HV;VsJ08MT;Měření Jindřichova 8
Jírova 10;VS Jírova 8;Líšeň;49.2086522;16.6862644;342.0;HV;VSJirSTR;Stroj. VS Jírova 8
Josefská 17;VS Josefská 17/19;Střed;49.1917344;16.6120361;213.4;HV;Jos17STR;Stroj. Josefská 17/19
Josefská 21;VS Josefská 21;Střed;49.1916789;16.6116703;215.2;HV;Jos21STR;Stroj. Josefská 21
Josefy Faimonové 13a;VS11 J.Faimonové;Líšeň;49.2055242;16.6800433;314.1;HV;V11FaKOT;Kotle VS11 J.Faimonové
Josefy Faimonové 13a;VS11 J.Faimonové;Líšeň;49.2055242;16.6800433;314.1;HV;V11FaMT;MT VS11 J.Faimonové
Josefy Faimonové 13a;VS11 J.Faimonové;Líšeň;49.2055242;16.6800433;314.1;HV;V11FaPS1;DPS J.Faim.11,13-17
Josefy Faimonové 13a;VS11 J.Faimonové;Líšeň;49.2055242;16.6800433;314.1;HV;V11FaPS2;DPS J.Faim. 18-20,22,24
Josefy Faimonové 13a;VS11 J.Faimonové;Líšeň;49.2055242;16.6800433;314.1;HV;FaiPS1MT;Měř. J.Faim.11,13-17
Josefy Faimonové 13a;VS11 J.Faimonové;Líšeň;49.2055242;16.6800433;314.1;HV;FaiPS2MT;Měř. J.Faim. 18-20,22,24
Josefy Faimonové 1a;VS11a J.Faimonové;Líšeň;49.2034483;16.6795000;288.5;HV;V11aFKOT;Kotle 11a J. Faimonové
Josefy Faimonové 1a;VS11a J.Faimonové;Líšeň;49.2034483;16.6795000;288.5;HV;V11aFSTR;Stroj. 11a J. Faimonové
Josefy Faimonové 1a;VS11a J.Faimonové;Líšeň;49.2034483;16.6795000;288.5;HV;V11aFPS1;PDS J. Faimonové 1-6
Josefy Faimonové 1a;VS11a J.Faimonové;Líšeň;49.2034483;16.6795000;288.5;HV;V11aFPS2;PDS J. Faimonové 7-12
Josefy Faimonové 1a;VS11a J.Faimonové;Líšeň;49.2034483;16.6795000;288.5;HV;V11aFPS3;PDS Neklež 1,1a,1b
Josefy Faimonové 1a;VS11a J.Faimonové;Líšeň;49.2034483;16.6795000;288.5;HV;Fa_PS1MT;Měř. J. Faimonové 1-6
Josefy Faimonové 1a;VS11a J.Faimonové;Líšeň;49.2034483;16.6795000;288.5;HV;Fa_PS2MT;Měř. J. Faimonové 7-12
Josefy Faimonové 1a;VS11a J.Faimonové;Líšeň;49.2034483;16.6795000;288.5;HV;Fa_PS3MT;Měř. Neklež 1,1a,1b
Jožky Jabůrkové 20;PKK24 J.Jabůrko.20;Komín;49.2235739;16.5527908;246.9;PK;K24JaKOT;Kotle K24 J.Jabůrkové
Jožky Jabůrkové 20;PKK24 J.Jabůrko.20;Komín;49.2235739;16.5527908;246.9;PK;K24JaSTR;Stroj. K24 J.Jabůrkové
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;HO8JuSTR;Stroj. HO8 Jurkovičova
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;HO8JuMT;Měření HO8 Jurkovičova
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;HO8JuPS1;PDS Jurkovičova 2-7
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;HO8JuPS2;PDS Jurk. 9,12,15,18
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;HO8JuPS3;PDS Loosova 3,6,9,11Mš
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;HO8JuPS4;PDS Loosova 12,13,14
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;JuPS1MT;Měření Jurkovičova 2-7
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;JuPS2MT;Měření Jurk. 9,12,15,18
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;JuPS3MT;Měř. Loosova 3,6,9,11Mš
Jurkovičova 1;HO8 Jurkovičova;Lesná;49.2327547;16.6238878;309.8;HV;JuPS4MT;Měření Loosova 12,13,14
K Babě 11;KM 15 K Babě 11;Medlánky;49.2444231;16.5719303;260.5;PK;KM15BSTR;KM 15 K Babě 11
K Babě 17;KM 11 K Babě 17 ;Medlánky;49.2450994;16.5709114;262.6;PK;KM11BSTR;KM 11 Babě 17
K Babě 19;KM 6 K Babě 19;Medlánky;49.2460175;16.5703772;267.4;PK;KM6BaSTR;KM 6 K Babě 19
K Babě 21;KM 5 K Babě 21;Medlánky;49.2457719;16.5698483;264.8;PK;KM5BaSTR;KM 5 K Babě 21
K Babě 23;KM 4 K Babě 23;Medlánky;49.2454586;16.5694919;261.7;PK;KM4BaSTR;KM 4 K Babě 23
K Babě 25;KM 3 K Babě 25;Medlánky;49.2439981;16.5743872;267.5;PK;KM3BaSTR;KM 3 K Babě 25
K Babě 9;KM 16 K Babě 9;Medlánky;49.2446386;16.5724033;263.5;PK;KM16BSTR;KM 16 K Babě 9
K Rybníku 1;KM 12 K Rybníku 1;Medlánky;49.2450656;16.5718208;264.6;PK;KM12RSTR;KM 12 K Rybníku 1
K Rybníku 2;KM 14 K Rybníku;Medlánky;49.2441044;16.5715733;258.0;PK;KM14RSTR;KM 14 K Rybníku
Kachlíkova 15a;PKKB2 Kachlíko.15a;Bystrc;49.2207753;16.5137986;292.8;PK;K2Ka_KOT;Kotle KB2 Kachlíkova
Kachlíkova 15a;PKKB2 Kachlíko.15a;Bystrc;49.2207753;16.5137986;292.8;PK;K2Ka_STR;Strojovna KB2 Kachlíkova
Kachlíkova 15a;PKKB2 Kachlíko.15a;Bystrc;49.2207753;16.5137986;292.8;PK;K2Ka_MT;Měření KB2 Kachlíkova
Kachlíkova 15a;PKKB2 Kachlíko.15a;Bystrc;49.2207753;16.5137986;292.8;PK;K2Ka_MTS;Měření Kachlíkova sudá
Kachlíkova 15a;PKKB2 Kachlíko.15a;Bystrc;49.2207753;16.5137986;292.8;PK;K2Ka_MTL;Měření Kachlíkova lichá
Kachlíkova 15a;PKKB2 Kachlíko.15a;Bystrc;49.2207753;16.5137986;292.8;PK;K2Ka_MTN;Měření Nad Přehradou
Kachlíkova 15a;PKKB2 Kachlíko.15a;Bystrc;49.2207753;16.5137986;292.8;PK;K2Ka_SER;Servis KB2 Kachlíkova
Kamínky 35a;PK K1 Kamínky;Lískovec;49.1811575;16.5593239;308.1;PK;K1KamKOT;Kotle K1 Kamínky
Kamínky 35a;PK K1 Kamínky;Lískovec;49.1811575;16.5593239;308.1;PK;K1KamSTR;Strojovna K1 Kamínky
Kamínky 5a;PK K2 Kamínky;Lískovec;49.1785783;16.5581153;306.5;PK;K2KamKOT;Kotle K2 Kamínky
Kamínky 5a;PK K2 Kamínky;Lískovec;49.1785783;16.5581153;306.5;PK;K2KamSTR;Strojovna K2 Kamínky
Klímova 1;VS Klímova 1;Žabovřesky;49.2121192;16.5834592;241.4;HV;VsKl1STR;Strojovna Klímova 1
Klímova 1;VS Klímova 1;Žabovřesky;49.2121192;16.5834592;241.4;HV;VsKl1MT;Měření Klímova 1
Klímova 3;VS Klímova 3;Žabovřesky;49.2124611;16.5831156;240.5;HV;VsKl3STR;Strojovna Klímova 3
Klímova 3;VS Klímova 3;Žabovřesky;49.2124611;16.5831156;240.5;HV;VsKl3MT;Měření Klímova 3
Klusáčkova 5a;VS Klusáčkova 5a,b;Královo Pole;49.2122722;16.5950783;239.2;HV;VKlu5Str;Strojovna VS Klusáčk.5
Klusáčkova 5a;VS Klusáčkova 5a,b;Královo Pole;49.2122722;16.5950783;239.2;HV;VSKlu5MT;Měření VS Klusáčkova 5
Koliště 47;Koliště 47;Zábrdovice;49.1959825;16.6232186;201.4;HV;Zábrdovice\Koliště_47;?
Koliště 49;Koliště 49;Zábrdovice;49.1959825;16.6232186;201.4;HV;Zábrdovice\Koliště_49;?
Konrádova 2a;VS9 Konrádova 2a;Líšeň;49.2086522;16.6862644;342.0;HV;VS9KoKOT;Kotle VS9 Konrádova
Kosmákova 46a;VS Kosmákova 46a;Židenice;49.2036964;16.6401194;207.4;PV;VSKosKot;VS Kosmákova topení
Kosmákova 46a;VS Kosmákova 46a;Židenice;49.2036964;16.6401194;207.4;PV;VSKosSTR;VS Kosmákova strojovna
Kosmákova 46a;VS Kosmákova 46a;Židenice;49.2036964;16.6401194;207.4;PV;VSKosMT;VS Kosmákova Měření
Kosmonautů 15a;PK K8 Kosmonautů;Lískovec;49.1664058;16.5633050;244.0;PK;K8KosKOT;Kotle K8 Kosmonautu
Kosmonautů 15a;PK K8 Kosmonautů;Lískovec;49.1664058;16.5633050;244.0;PK;K8KosSTR;Strojovna K8 Kosmonautu
Kotlářská 25;VS Kotlářská 23,25;Ponava;49.2066608;16.5993583;230.7;HV;VSK25STR;Výměník VS Kotlářská 25
Kounicova 54;VS Kounicova 52-58;Veveří;49.2112628;16.5936708;241.7;HV;VKo56Str;Strojovna VS Kounic. 56
Kounicova 54;VS Kounicova 52-58;Veveří;49.2112628;16.5936708;241.7;HV;VSKo56MT;Měření VS Kounicova 56
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;VS5KoKOT;Kotle VS5 Kotlanova
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;VS5KoSTR;Stroj. VS5 Kotlanova
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;VS5KoMT;Měř. VS5 Kotlanova
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;VS5KoPS1;PDS Kotlanova 2,4,6,8
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;VS5KoPS2;PDS Horníkova 2,4,6,8
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;VS5KoPS3;PDS Horník.10,12,14,16
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;VS5KoPS4;PDS Horník.18,20,22,24
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;VS5KoPS5;PDS Horník.26,28,30,32
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;KoPS1MT;Měř.Kotlanova 2,4,6,8
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;KoPS2MT;Měř.Horníkova 2,4,6,8
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;KoPS3MT;Měř.Horník.10,12,14,16
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;KoPS4MT;Měř.Horník.18,2
Kotlanova 10;VS5 Kotlanova 10;Líšeň;49.2101678;16.6794728;331.4;HV;KoPS5MT;
Kremličkova 6a;PKKR Kremličkov.6a;Řečkovice;49.2486225;16.5738981;307.4;PK;KRKreKOT;Kotle KR Kremličkova
Kremličkova 6a;PKKR Kremličkov.6a;Řečkovice;49.2486225;16.5738981;307.4;PK;KRKreSTR;Strojovna KR Kremličkova
Kremličkova 6a;PKKR Kremličkov.6a;Řečkovice;49.2486225;16.5738981;307.4;PK;KRKreMT;Měření KR Kremličkova
Kremličkova 6a;PKKR Kremličkov.6a;Řečkovice;49.2486225;16.5738981;307.4;PK;KRKrePS1;PDS Kremličkova 2-8
Kremličkova 6a;PKKR Kremličkov.6a;Řečkovice;49.2486225;16.5738981;307.4;PK;KrePS1MT;Měření Kremličkova 2-8
Křídlovická;VS Křídlovická 43;Staré Brno;49.1877081;16.5992519;202.4;PV;VSKriKOT;Ohřívače VS Křídlovická
Křídlovická;VS Křídlovická 43;Staré Brno;49.1877081;16.5992519;202.4;PV;VSKriSTR;Strojovna VS Křídlovická
Křídlovická;VS Křídlovická 43;Staré Brno;49.1877081;16.5992519;202.4;PV;VSKriMT;Měření VS Křídlovická
Kubánská 1;VS Kubánská 1;Žabovřesky;49.2136294;16.5812036;233.8;HV;VsKu1STR;Strojovna Kubánská 1
Kubánská 1;VS Kubánská 1;Žabovřesky;49.2136294;16.5812036;233.8;HV;VsKu1MT;Měření Kubánská 1
Kubánská 2;VS Kubánská 2;Žabovřesky;49.2138383;16.5803858;231.4;HV;VsKu2STR;Strojovna Kubánská 2
Kubánská 2;VS Kubánská 2;Žabovřesky;49.2138383;16.5803858;231.4;HV;VsKu2MT;Měření Kubánská 2
Kubánská 3;VS Kubánská 3;Žabovřesky;49.2134331;16.5810375;232.2;HV;VsKu3STR;Strojovna Kubánská 3
Kubánská 3;VS Kubánská 3;Žabovřesky;49.2134331;16.5810375;232.2;HV;VsKu3MT;Měření Kubánská 3
Kubánská 4;VS Kubánská 4;Žabovřesky;49.2136458;16.5805475;231.3;HV;VsKu4STR;Strojovna Kubánská 4
Kubánská 4;VS Kubánská 4;Žabovřesky;49.2136458;16.5805475;231.3;HV;VsKu4MT;Měření Kubánská 4
Kubánská 5;VS Kubánská 5;Žabovřesky;49.2132347;16.5812058;232.7;HV;VsKu5STR;Strojovna Kubánská 5
Kubánská 5;VS Kubánská 5;Žabovřesky;49.2132347;16.5812058;232.7;HV;VsKu5MT;Měření Kubánská 5
Kubánská 6;VS Kubánská 6;Žabovřesky;49.2134436;16.5803744;230.6;HV;VsKu6STR;Strojovna Kubánská 6
Kubánská 6;VS Kubánská 6;Žabovřesky;49.2134436;16.5803744;230.6;HV;VsKu6MT;Měření Kubánská 6
Kubánská 7;VS Kubánská 7;Žabovřesky;49.2130403;16.5810422;231.0;HV;VsKu7STR;Strojovna Kubánská 7
Kubánská 7;VS Kubánská 7;Žabovřesky;49.2130403;16.5810422;231.0;HV;VsKu7MT;Měření Kubánská 7
Kubánská 8;VS Kubánská 8;Žabovřesky;49.2132500;16.5805542;230.0;HV;VsKu8STR;Strojovna Kubánská 8
Kubánská 8;VS Kubánská 8;Žabovřesky;49.2132500;16.5805542;230.0;HV;VsKu8MT;Měření Kubánská 8
Kubánská 9;VS Kubánská 9;Žabovřesky;49.2128406;16.5808781;230.2;HV;VsKu9STR;Strojovna Kubánská 9
Kubánská 9;VS Kubánská 9;Žabovřesky;49.2128406;16.5808781;230.2;HV;VsKu9MT;Měření Kubánská 9
Kubíčkova 1a;PKKB3 Kubíčkova 1a;Bystrc;49.2188056;16.5187714;284.6;PK;K3KubKOT;Kotle KB3 Kubíčkova
Kubíčkova 1a;PKKB3 Kubíčkova 1a;Bystrc;49.2188056;16.5187714;284.6;PK;K3KubSTR;Stroj. KB3 Kubíčkova
Kubíkova 22;VS12 Kubíkova 22;Líšeň;49.2017336;16.6791478;287.3;HV;V12KuKOT;Kotle VS12 Kubíkova
Kubíkova 22;VS12 Kubíkova 22;Líšeň;49.2017336;16.6791478;287.3;HV;V12KuSTR;Stroj. VS12 Kubíkova
Kubíkova 22;VS12 Kubíkova 22;Líšeň;49.2017336;16.6791478;287.3;HV;V12KuMT;Měření VS12 Kubíkova
Kubíkova 22;VS12 Kubíkova 22;Líšeň;49.2017336;16.6791478;287.3;HV;V12KuPS1;PDS J.Faimanové 21-30
Kubíkova 22;VS12 Kubíkova 22;Líšeň;49.2017336;16.6791478;287.3;HV;V12KuPS2;PDS Kubíkova2,6,10,14,18
Kubíkova 22;VS12 Kubíkova 22;Líšeň;49.2017336;16.6791478;287.3;HV;V12KuPS3;PDS Rašelinová 4,5
Kubíkova 22;VS12 Kubíkova 22;Líšeň;49.2017336;16.6791478;287.3;HV;KubPS1MT;Měř. J.Faimanové 21-30
Kubíkova 22;VS12 Kubíkova 22;Líšeň;49.2017336;16.6791478;287.3;HV;KubPS2MT;Měř.Kubíkova2,6,10,14,18
Kubíkova 22;VS12 Kubíkova 22;Líšeň;49.2017336;16.6791478;287.3;HV;KubPS3MT;Měř. Rašelinová 4,5
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;K5KunKOT;Kotle KR5 Kunštátská
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;K5KunSTR;Strojovna KR5 Kunštátská
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;K5KunMT;Měření KR5 Kunštátská
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;PdsKun11;Pds Kunštátská 11
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;PdsKun13;Pds Kunštátská 13
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;PdsKun04;Pds Kunštátská 4
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;PdsMer48;Pds Měříčkova 48
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;PdsMerMS;Pds Měříčkova MŠ
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;KunPS1MT;Měření Kunšt. 1-11
Kunštátská 11a;PKKR5 Kunštátská;Řečkovice;49.2459844;16.5865464;251.8;PK;KunPS2MT;Měř. Kun.13-21, Měříč.46
Kvapilova 1;VS Kvapilova 1a;Žabovřesky;49.2202694;16.5789378;254.7;HV;VKv1aSTR;Strojovna Kvapilova 1a
Kvapilova 1;VS Kvapilova 1a;Žabovřesky;49.2202694;16.5789378;254.7;HV;VsKv1aMT;Měření Kvapilova 1a
Kvapilova 2;VS Kvapilova 2;Žabovřesky;49.2203722;16.5783583;254.0;HV;VsKv2STR;Strojovna Kvapilova 2
Kvapilova 2;VS Kvapilova 2;Žabovřesky;49.2203722;16.5783583;254.0;HV;VsKva2MT;Měření Kvapilova 2
Kvapilova 3;VS Kvapilova 3;Žabovřesky;49.2201736;16.5781892;251.4;HV;VsKv3STR;Strojovna Kvapilova 3
Kvapilova 3;VS Kvapilova 3;Žabovřesky;49.2201736;16.5781892;251.4;HV;VsKva3MT;Měření Kvapilova 3
Kvapilova 4;VS Kvapilova 4;Žabovřesky;49.2199694;16.5783633;249.8;HV;VsKv4STR;Strojovna Kvapilova 4
Kvapilova 4;VS Kvapilova 4;Žabovřesky;49.2199694;16.5783633;249.8;HV;VsKva4MT;Měření Kvapilova 4
Kvapilova 5;VS Kvapilova 5;Žabovřesky;49.2197822;16.5781928;248.2;HV;VsKv5STR;Strojovna Kvapilova 5
Kvapilova 5;VS Kvapilova 5;Žabovřesky;49.2197822;16.5781928;248.2;HV;VsKva5MT;Měření Kvapilova 5
Kvapilova 6;VS Kvapilova 6;Žabovřesky;49.2200133;16.5791039;253.3;HV;VsKv6STR;Strojovna Kvapilova 6
Kvapilova 6;VS Kvapilova 6;Žabovřesky;49.2200133;16.5791039;253.3;HV;VsKva6MT;Měření Kvapilova 6
Kyjevská 3a;PK K17 Kyjevská;Lískovec;49.1690961;16.5532850;243.0;PK;K17KyKOT;Kotelna K17 Kyjevská
Kyjevská 3a;PK K17 Kyjevská;Lískovec;49.1690961;16.5532850;243.0;PK;K17KySTR;Strojovna K7 Kyjevská
Kyjevská 3a;PK K17 Kyjevská;Lískovec;49.1690961;16.5532850;243.0;PK;KyjPS1MT;Měř. Krym.1,3
Labská 19a;PK K5 Labská;Lískovec;49.1712733;16.5621189;272.2;PK;K5LabKOT;Kotelna K5 Labská 19a
Labská 19a;PK K5 Labská;Lískovec;49.1712733;16.5621189;272.2;PK;K5LabSTR;Strojovna K5 Labská 19a
Labská 8;PK K6 Labská;Lískovec;49.1729028;16.5632522;285.4;PK;K6LabKOT;Kotelna K6 Labská 8
Labská 8;PK K6 Labská;Lískovec;49.1729028;16.5632522;285.4;PK;K6LabSTR;Strojovna K6 Labská 8
Lány 45;PK K4 Lány;Bohunice;49.1663406;16.5826172;239.7;PK;K4LanKOT;Kotle K4 L ny
Lány 45;PK K4 Lány;Bohunice;49.1663406;16.5826172;239.7;PK;K4LanSTR;Strojovna K4 L ny
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;K5LasKOT;Kotle PK5 Laštůvkova
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;K5LasSTR;Strojovna PK5 Laštůvkova
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;K5LasMT;Měření PK5 Laštůvkova
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;K5LasPS1;PDS Laštůvkova 1-12
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;K5LasPS2;PDS Laštůvkova 13-24
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;K5LasPS3;PDS Laštůvkova 25-32
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;K5LasPS4;PDS Laštůvkova 33-51
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;K5LasPS5;PDS Laštůvkova 53-75
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;LasPS1MT;Měření Laštůvkova 1-12
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;LasPS2MT;Měření Laštůvkova 13-24
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;LasPS3MT;Měření Laštůvkova 25-32
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;LasPS4MT;Měření Laštů
Laštůvkova 75a;PK5 Laštůvkov.75a;Bystrc;49.2188278;16.5230872;265.9;PK;LasPS5MT;
Leitnerova 4;VS Leitnerova 4;Staré Brno;49.1879928;16.6017919;202.1;PV;VSLeiKOT;Ohřívače VS Leitnerova
Leitnerova 4;VS Leitnerova 4;Staré Brno;49.1879928;16.6017919;202.1;PV;VSLeiSTR;Strojovna VS Leitnerova
